CustomerId,FirstName,LastName,Email,PhoneNumber,AddressLine1,AddressLine2,City,State,PostalCode,Country,BirthDate,Gender,Occupation,Income,RegistrationDate,LastLogin,IsActive,Notes,CreatedAt,UpdatedAt
1,莉子,佐藤,_83@gmail.com,00-8055-8096,183 結菜Spur,Suite 338,颯太区,47,194-1783,Sweden,19970602,Other,Regional Functionality Facilitator,883909.21,20230611004829,20241201051843,True,まほうつかい 壮年 大尉 どろ 逆 芸者.,20241230111912,20241230111912
2,蓮,伊藤,88@gmail.com,014-094-4215,65228 大和Knoll,Suite 487,湖大和村,3,274-7810,Bahrain,19860427,Female,Lead Interactions Specialist,152417.12,20220106074103,20241204235353,False,ふかさ へいがい 伐採 かくじっけん とうき フランス人 みなもと 屈む 奉仕 たて.,20241230111912,20241230111912
3,太一,松本,_@hotmail.com,01-1762-8352,95156 田中Mills,Suite 944,港井上市,4,945-1389,Aruba,19750717,Other,Dynamic Program Representative,629175.13,20240817144057,20241222182948,True,あれる 〜系 電話 報じる 陳列室 しゃっか 消す 評価.,20241230111912,20241230111912
4,蓮,鈴木,.@hotmail.com,0883-05-9517,43702 松本Ridges,Suite 953,高橋市,45,767-9100,Macao,19990405,Other,Investor Accountability Liaison,911163.44,20230816164503,20241229001746,False,ぼくし 浮世絵 ひんきゃく 提案する 液体 親切 どろ 譜面 もうす.,20241230111912,20241230111912
5,陽菜,松本,44@hotmail.com,09670-9-9247,1623 吉田Junction,Apt. 577,結菜村,42,773-5262,Pakistan,20020730,Male,Product Division Analyst,45999.80,20231229101335,20241215081427,True,ふそく きょだい きひん.,20241230111912,20241230111912
6,蓮,山本,_72@gmail.com,06-9422-6576,19782 美羽Ramp,Apt. 840,新樹市,11,105-9448,Seychelles,19690815,Female,Senior Integration Director,452994.24,20240921152900,20241219154211,False,こうせい 礎 閉める 面積 はちのす 配慮 こうちょく 遮断 防犯.,20241230111912,20241230111912
7,結菜,高橋,.3@yahoo.com,034-062-3154,9610 清水Tunnel,Apt. 058,翼村,33,957-6852,Guam,19960921,Other,Customer Paradigm Developer,260040.96,20241212234200,20241203185100,True,けいけんしゃ 白菊 誤用 母 ふん しょうりゃく はちまき.,20241230111912,20241230111912
8,樹,斎藤,_95@yahoo.com,099-644-9510,8698 大和Junction,Suite 256,北陽菜区,38,499-7555,Uzbekistan,19850720,Male,Senior Factors Orchestrator,888312.37,20241107155656,20241227233709,True,奉仕 とちょう ちあん 十台 米兵.,20241230111912,20241230111912
9,翼,伊藤,96@gmail.com,070-793-2979,92635 渡辺Rest,Suite 416,心愛村,7,393-4532,Turks and Caicos Islands,19940103,Other,Internal Communications Assistant,754773.61,20240111093133,20241209195813,True,やしなう しずむ じゅうどう かぶしきしじょう 人性 平安 しゃっか はりい.,20241230111912,20241230111912
10,心愛,鈴木,75@hotmail.com,0976-08-5598,16823 太一Brook,Apt. 119,愛菜区,29,329-0206,Martinique,19730108,Female,Future Accounts Designer,25704.75,20221026162355,20241215153734,True,ざんぴん 核実験 じっかん やしなう 自立 学者 廃墟 金縛り いじん.,20241230111912,20241230111912
11,翼,加藤,60@gmail.com,03504-8-1527,72689 莉子Village,Suite 335,南莉子村,12,062-4786,Sri Lanka,20030424,Other,National Mobility Technician,116099.53,20241220010743,20241206163155,True,きょうはんしゃ たいさ ちゅうもんする ひきさく.,20241230111912,20241230111912
