CustomerId,FirstName,LastName,Email,PhoneNumber,AddressLine1,AddressLine2,City,State,PostalCode,Country,BirthDate,Gender,Occupation,Income,RegistrationDate,LastLogin,IsActive,Notes,CreatedAt,UpdatedAt
1,Christelle,Olson,Bria_Sanford46@yahoo.com,533.567.9149 x3886,0227 Wilhelmine Walks,Apt. 569,Roryfort,OH,19911-3118,Antigua and Barbuda,1979-01-19,Other,Customer Interactions Liaison,550038.04,2024-07-07 02:27:07.285,2024-12-25 21:06:08.050,1,Nihil ullam eius id sapiente.,2025-01-06 14:16:47.977,2025-01-06 14:16:47.978
2,Zaria,Ryan,Grover.Hagenes@yahoo.com,395-400-4454,5992 Letha Course,Apt. 759,Orvalberg,MT,70879-1847,Israel,1967-08-04,Other,Corporate Response Specialist,501415.06,2022-11-19 02:00:07.886,2024-12-22 05:36:30.450,0,Ipsa ut quia ea omnis saepe officiis aspernatur consequuntur.,2025-01-06 14:16:47.977,2025-01-06 14:16:47.978
3,Earline,Murphy,Aletha59@yahoo.com,1-733-830-8589,1790 Schuster Fields,Apt. 155,East Era,MA,80108-6731,Saint Helena,1968-01-01,Other,Direct Infrastructure Producer,593372.28,2022-08-08 23:24:46.799,2024-12-31 08:12:45.440,0,Distinctio voluptatem ipsum vel ducimus.,2025-01-06 14:16:47.977,2025-01-06 14:16:47.978
4,Deondre,Feil,Alysha.Leffler49@yahoo.com,(273) 790-6198,5944 Genevieve Course,Suite 379,Port Michael,MS,82801,Virgin Islands U.S.,1998-02-28,Other,Regional Branding Technician,866089.60,2022-02-23 10:25:11.811,2025-01-03 19:35:10.056,1,Et nisi nam praesentium nisi.,2025-01-06 14:16:47.977,2025-01-06 14:16:47.978
5,Elouise,Weimann,Elmer0@yahoo.com,(259) 917-9578 x3246,160 Reilly Summit,Apt. 903,Sistermouth,HI,27466,Moldova,2002-04-03,Other,Internal Metrics Director,873638.50,2023-11-14 14:25:52.018,2024-12-13 06:11:37.450,1,Dignissimos ipsa perspiciatis in ad doloribus quia velit quod dicta.,2025-01-06 14:16:47.977,2025-01-06 14:16:47.978
6,Jacky,Windler,Jayne_Spinka@yahoo.com,688-828-8112,19161 Jamison Rapids,Suite 333,Port Maudefort,SC,14666-9137,Dominican Republic,1984-04-07,Male,Investor Division Architect,860009.92,2024-09-02 00:30:51.029,2024-12-27 19:04:58.554,1,Corrupti et dolores saepe ut ea laudantium incidunt ea qui.,2025-01-06 14:16:47.977,2025-01-06 14:16:47.978
7,Jay,Denesik,Roosevelt_Bosco44@gmail.com,357-685-5424 x492,1263 Krajcik Harbors,Suite 376,Abshireshire,FL,09226-2152,Samoa,1986-03-27,Other,Future Interactions Engineer,546781.01,2022-07-10 14:52:55.617,2024-12-29 05:45:11.333,1,Animi at non sunt voluptatem aspernatur incidunt labore et.,2025-01-06 14:16:47.977,2025-01-06 14:16:47.978
8,Berenice,Christiansen,Justina_Conroy@gmail.com,595.990.1747,20200 Kutch Spur,Suite 385,Freedamouth,AR,19073,Guinea,1994-08-28,Other,Product Usability Analyst,950207.63,2023-09-15 15:35:48.632,2024-12-15 20:13:14.544,1,Recusandae est nisi autem consequatur incidunt ea cum debitis facere.,2025-01-06 14:16:47.977,2025-01-06 14:16:47.978
9,Nadia,Kutch,Emmalee11@gmail.com,(325) 949-1157,8645 Adrianna Mission,Apt. 767,North Jeanetteshire,NC,26376-5020,Cayman Islands,1980-08-25,Male,Future Web Strategist,522193.97,2023-07-13 17:11:10.843,2024-12-18 19:59:28.730,1,Illo incidunt dolore ducimus voluptas sequi necessitatibus.,2025-01-06 14:16:47.977,2025-01-06 14:16:47.978
10,Turner,Kovacek,Otha_Wintheiser98@gmail.com,952-769-9465,0809 Roosevelt Park,Apt. 676,Lake Erinville,NE,91383-8239,Angola,1985-08-11,Female,District Tactics Designer,462961.33,2023-12-22 08:08:46.198,2025-01-04 09:09:12.035,1,Ut qui asperiores velit totam.,2025-01-06 14:16:47.977,2025-01-06 14:16:47.978
11,Elza,Bergstrom,Shaun_Bahringer23@hotmail.com,302-467-9879 x03849,6478 Sarai Pass,Suite 634,West Ryleyborough,NH,04796,France,1982-06-18,Other,Direct Operations Consultant,989679.54,2024-08-20 03:17:35.243,2024-12-10 07:31:09.161,1,Ea non saepe.,2025-01-06 14:16:47.977,2025-01-06 14:16:47.978
12,April,Emmerich,Gay_Jacobs@hotmail.com,(560) 466-2774 x0963,713 Gibson Dale,Apt. 795,New Karlee,MT,35966-0976,Palestinian Territory,1999-06-03,Male,Direct Functionality Administrator,397976.94,2022-01-21 05:55:20.271,2024-12-24 06:43:59.751,1,Dolores odio quisquam.,2025-01-06 14:16:47.977,2025-01-06 14:16:47.978
13,Joshuah,Brown,Maddison.Collins@gmail.com,811-241-2983,0967 Gusikowski Plains,Suite 151,Reginaldshire,MD,97301-2694,Cook Islands,1993-11-20,Female,Corporate Brand Analyst,141989.89,2024-07-18 04:24:35.612,2024-12-12 05:52:45.874,1,Quibusdam dolorem dolor officia omnis.,2025-01-06 14:16:47.977,2025-01-06 14:16:47.978
